player_name,matches_played,mins,total_assist,op_assist,total_chances_created,op_chances_created,total_xa,op_xa,player_id,club_name
Manuel Ugarte,22,881,0,0,3,3,0.20,0.20,p232112,Man Utd
Rodrigo Gomes,22,960,0,0,3,3,0.41,0.41,p483081,Wolves
Pedro Lima,9,259,0,0,3,3,0.37,0.37,p641221,Wolves
Gabriel Jesus,14,421,0,0,3,3,0.28,0.28,p205651,Arsenal
Jaydee Canvot,20,1334,0,0,3,3,0.34,0.34,p651426,Crystal Palace
Nathaniel Clyne,10,596,1,1,3,2,0.68,0.68,p57328,Crystal Palace
Harrison Reed,7,90,0,0,3,2,0.47,0.15,p153366,Fulham
Jorge Cuenca,15,938,0,0,3,3,0.56,0.56,p246301,Fulham
Federico Chiesa,26,318,1,1,3,2,0.61,0.61,p223541,Liverpool
Nikola Milenkovic,38,3375,0,0,3,3,0.71,0.71,p227444,Nott'm Forest
Bafodé Diakité,18,1275,0,0,3,3,0.18,0.18,p242882,Bournemouth
Wesley Fofana,25,1726,1,1,3,2,0.62,0.62,p444463,Chelsea
Nilson Angulo,8,406,0,0,3,2,0.11,0.10,p536661,Sunderland
Liam Delap,28,1102,0,0,3,3,0.22,0.22,p463034,Chelsea
Kevin Danso,24,1491,0,0,3,2,0.28,0.23,p135720,Spurs
Tyrique George,15,353,0,0,3,3,1.18,1.18,p550615,Everton
Facundo Buonanotte,4,81,0,0,3,2,0.28,0.10,p536916,Leeds
Souza,4,144,0,0,3,3,0.04,0.04,p616221,Spurs
Matt Doherty,11,791,0,0,3,3,0.18,0.18,p87835,Wolves
Adama Traoré,24,377,0,0,3,3,0.58,0.58,p159533,West Ham
Marc Guiu,10,266,1,1,3,2,0.30,0.30,p499309,Chelsea
Jarrad Branthwaite,10,681,0,0,3,3,0.12,0.12,p480455,Everton
Fer López,9,229,1,1,3,1,0.61,0.55,p643135,Wolves
Andy Irving,7,157,0,0,3,1,0.17,0.04,p229384,West Ham
Marshall Munetsi,13,873,1,1,3,2,0.38,0.38,p433312,Wolves
Matthijs de Ligt,13,1170,0,0,3,3,0.77,0.77,p209365,Man Utd
Ayden Heaven,17,923,1,1,2,1,0.18,0.18,p606745,Man Utd
Rio Cardines,1,90,0,0,2,2,0.15,0.15,p590014,Crystal Palace
Alexander Isak,14,703,1,1,2,1,0.10,0.10,p219168,Liverpool
Reiss Nelson,10,118,1,0,2,1,0.12,0.12,p200641,Brentford
Lamare Bogarde,28,1047,0,0,2,2,0.21,0.20,p515597,Aston Villa
Victor Lindelöf,17,944,1,1,2,1,0.12,0.12,p184667,Aston Villa
Luca Netz,7,355,0,0,2,2,0.42,0.42,p470315,Nott'm Forest
Morato,21,1342,0,0,2,2,0.16,0.16,p485047,Nott'm Forest
Josh Acheampong,17,663,0,0,2,2,0.14,0.14,p577016,Chelsea
Luke O'Nien,12,564,1,1,2,1,0.14,0.12,p167512,Sunderland
Michael Keane,33,2590,1,1,2,1,0.51,0.51,p106611,Everton
Jack Fletcher,3,107,0,0,2,2,0.03,0.03,p547037,Man Utd
Borna Sosa,7,99,0,0,2,2,0.07,0.07,p218364,Crystal Palace
Ezra Mayers,6,113,0,0,2,2,0.49,0.49,p602903,West Ham
Divine Mukasa,2,25,0,0,2,2,0.21,0.21,p590039,Man City
Jack Harrison,11,263,0,0,2,2,0.23,0.23,p221399,Leeds
Chadi Riad,9,554,1,1,1,0,0.13,0.13,p515621,Crystal Palace
Wataru Endo,8,171,1,1,1,0,0.06,0.06,p158983,Liverpool
Josh Dasilva,2,2,0,0,1,1,0.00,0.00,p183656,Brentford
Romelle Donovan,4,38,0,0,1,1,0.02,0.02,p606689,Brentford
Trey Nyoni,6,21,0,0,1,1,0.02,0.02,p591386,Liverpool
Pau Torres,21,1676,0,0,1,1,0.37,0.37,p244954,Aston Villa
John Stones,9,439,0,0,1,1,0.09,0.09,p97299,Man City
Max Alleyne,2,135,0,0,1,1,0.06,0.06,p494307,Man City
Ben Gannon-Doak,8,105,1,1,1,0,0.12,0.12,p496208,Bournemouth
Jair Cunha,9,516,0,0,1,1,0.07,0.06,p575458,Nott'm Forest
Enes Ünal,23,214,0,0,1,1,0.07,0.07,p168636,Bournemouth
Séamus Coleman,5,20,0,0,1,1,0.16,0.16,p59949,Everton
Joël Piroe,16,246,0,0,1,1,0.13,0.13,p235826,Leeds
Axel Disasi,14,1255,0,0,1,1,0.05,0.05,p220362,West Ham
Mohamadou Kanté,11,67,0,0,1,1,0.06,0.06,p630699,West Ham
Lorenzo Lucca,4,127,0,0,1,1,0.01,0.01,p469130,Nott'm Forest
Jonah Kusi-Asare,7,49,0,0,1,1,0.01,0.01,p631786,Fulham
Roméo Lavia,12,377,0,0,1,1,0.54,0.54,p514356,Chelsea
Tosin Adarabioyo,16,789,0,0,1,1,0.41,0.40,p109646,Chelsea
Igor Julio,4,103,0,0,1,1,0.00,0.00,p223434,Brighton
Mike Trésor,6,37,0,0,1,1,0.01,0.01,p437748,Burnley
Veljko Milosavljevic,7,367,0,0,1,1,0.20,0.20,p620487,Bournemouth
Harvey Elliott,5,110,0,0,1,1,0.09,0.09,p444884,Aston Villa
Romaine Mundle,14,400,0,0,1,1,0.47,0.47,p461199,Sunderland
Oliver Sonne,7,165,0,0,1,1,0.09,0.08,p519895,Burnley
Ben Davies,3,138,0,0,1,1,0.09,0.09,p115556,Spurs
Arnaud Kalimuendo,9,89,0,0,1,1,0.03,0.03,p465680,Nott'm Forest
Bendito Mantato,1,15,0,0,1,1,0.01,0.01,p576620,Man Utd
Ethan Nwaneri,6,165,0,0,1,1,0.08,0.06,p499175,Arsenal
Frank Onyeka,6,88,1,1,1,0,0.37,0.37,p428580,Brentford
Luis Guilherme,5,121,0,0,1,1,0.04,0.04,p577114,West Ham
Arthur Masuaku,3,127,0,0,1,1,0.08,0.08,p105717,Sunderland
Hamed Traoré,1,16,1,1,1,0,0.00,0.00,p424044,Bournemouth
Shea Lacey,3,40,0,0,0,0,0.01,0.01,p576628,Man Utd
Solly March,4,38,0,0,0,0,0.02,0.02,p109345,Brighton
Tyler Fletcher,2,17,0,0,0,0,0.01,0.01,p519913,Man Utd
Tyrell Malacia,3,15,0,0,0,0,0.00,0.00,p222690,Man Utd
Zeki Amdouni,4,69,0,0,0,0,0.02,0.02,p492831,Burnley
Connor Roberts,0,0,0,0,0,0,0.00,0.00,p192290,Burnley
Ashley Barnes,7,40,0,0,0,0,0.04,0.04,p44699,Burnley
Jerome Abbey,1,16,0,0,0,0,0.00,0.00,p685628,Wolves
Ethan Sutherland,0,0,0,0,0,0,0.00,0.00,p589121,Wolves
Tom Edozie,3,12,0,0,0,0,0.00,0.00,p596054,Wolves
Axel Tuanzebe,14,1202,0,0,0,0,0.14,0.14,p180804,Burnley
Christian Nørgaard,7,101,0,0,0,0,0.04,0.04,p128295,Arsenal
Alex Murphy,2,7,0,0,0,0,0.00,0.00,p545477,Newcastle
Sean Neave,1,13,0,0,0,0,0.00,0.00,p599303,Newcastle
Issa Diop,13,814,0,0,0,0,0.05,0.05,p219924,Fulham
Aaron Hickey,21,685,0,0,0,0,0.14,0.13,p472713,Brentford
Kaye Furo,1,1,0,0,0,0,0.00,0.00,p593174,Brentford
Ethan Pinnock,4,321,0,0,0,0,0.06,0.06,p231065,Brentford
George Hemmings,2,25,0,0,0,0,0.01,0.01,p577285,Aston Villa
Mateo Kovacic,0,0,0,0,0,0,0.00,0.00,p91651,Man City
Bradley Burrowes,1,16,0,0,0,0,0.00,0.00,p645618,Aston Villa
Andrés García,6,83,0,0,0,0,0.01,0.01,p606798,Aston Villa
Lamin Sillah,0,0,0,0,0,0,0.00,0.00,p687076,Nott'm Forest
Zach Abbott,3,165,0,0,0,0,0.01,0.01,p549067,Nott'm Forest
Dennis Cirkin,8,320,0,0,0,0,0.03,0.03,p461195,Sunderland
Jesse Derry,1,44,0,0,0,0,0.02,0.02,p619734,Chelsea
Dário Essugo,3,26,0,0,0,0,0.01,0.01,p491007,Chelsea
Wilson Isidor,32,1158,0,0,0,0,0.39,0.39,p437505,Sunderland
Levi Colwill,3,225,0,0,0,0,0.11,0.11,p460028,Chelsea
Djiamgone Jocelin Ta Bi,1,39,0,0,0,0,0.04,0.00,p699989,Sunderland
Radu Dragusin,10,515,0,0,0,0,0.02,0.02,p493125,Spurs
Adam Aznou,0,0,0,0,0,0,0.00,0.00,p499300,Everton
James Maddison,3,34,0,0,0,0,0.06,0.04,p172780,Spurs
Yves Bissouma,11,605,0,0,0,0,0.12,0.12,p227127,Spurs
Alfie Cresswell,0,0,0,0,0,0,0.00,0.00,p592740,Leeds
Sebastiaan Bornauw,12,432,0,0,0,0,0.02,0.02,p437738,Leeds
Rhys Chadwick,0,0,0,0,0,0,0.00,0.00,p577978,Leeds
Sam Byram,2,8,0,0,0,0,0.00,0.00,p113564,Leeds
Keiber Lamadrid,0,0,0,0,0,0,0.00,0.00,p572702,West Ham
Ryan Kavuma-McQueen,0,0,0,0,0,0,0.00,0.00,p616286,Chelsea
Shumaira Mheuka,1,1,0,0,0,0,0.00,0.00,p567119,Chelsea
Mamadou Sarr,3,100,0,0,0,0,0.00,0.00,p574458,Chelsea
Joe Worrall,11,497,0,0,0,0,0.02,0.02,p208912,Burnley
Nathan Patterson,7,240,0,0,0,0,0.04,0.04,p243571,Everton
Jayden Lienou,0,0,0,0,0,0,0.00,0.00,p643970,Leeds
Will Wright,0,0,0,0,0,0,0.00,0.00,p677945,Liverpool
James McConnell,0,0,0,0,0,0,0.00,0.00,p491501,Liverpool
Talla Ndiaye,0,0,0,0,0,0,0.00,0.00,p718875,Liverpool
Jimmy Sinclair,0,0,0,0,0,0,0.00,0.00,p590040,Nott'm Forest
Archie Whitehall,0,0,0,0,0,0,0.00,0.00,p568159,Nott'm Forest
Eric da Silva Moreira,0,0,0,0,0,0,0.00,0.00,p569014,Nott'm Forest
Kieran Morrison,0,0,0,0,0,0,0.00,0.00,p596042,Liverpool
Mathis Eboué,0,0,0,0,0,0,0.00,0.00,p671606,Chelsea
Ollie Shield,0,0,0,0,0,0,0.00,0.00,p494556,Brentford
Saheed Olagunju,0,0,0,0,0,0,0.00,0.00,p601956,Wolves
Harrison Jones,0,0,0,0,0,0,0.00,0.00,p547410,Sunderland
Jim Thwaites,0,0,0,0,0,0,0.00,0.00,p576634,Man Utd
Luka Bentt,0,0,0,0,0,0,0.00,0.00,p559610,Brentford
Joshua Stephenson,0,0,0,0,0,0,0.00,0.00,p649240,Brentford
Jenson Jones,0,0,0,0,0,0,0.00,0.00,p232356,Sunderland
Riley Owen,0,0,0,0,0,0,0.00,0.00,p547671,Brentford
Marli Salmon,0,0,0,0,0,0,0.00,0.00,p616065,Arsenal
Conor McManus,0,0,0,0,0,0,0.00,0.00,p587433,Brentford
Calvin Ramsay,0,0,0,0,0,0,0.00,0.00,p489580,Liverpool
Tyler Fredricson,1,2,0,0,0,0,0.00,0.00,p547676,Man Utd
Callum Olusesi,1,14,0,0,0,0,0.01,0.01,p499726,Spurs
James Rowswell,1,1,0,0,0,0,0.00,0.00,p499716,Spurs
James Wilson,0,0,0,0,0,0,0.00,0.00,p613232,Spurs
Benoît Badiashile,8,471,0,0,0,0,0.07,0.07,p242880,Chelsea
Jack Whittaker,0,0,0,0,0,0,0.00,0.00,p570929,Sunderland
Harry Howell,3,93,0,0,0,0,0.03,0.03,p597320,Brighton
Jaydon Jones,0,0,0,0,0,0,0.00,0.00,p571087,Sunderland
Christantus Uche,14,159,0,0,0,0,0.03,0.03,p660392,Crystal Palace
Rio Kyerematen,0,0,0,0,0,0,0.00,0.00,p536134,Spurs
Godwill Kukonki,0,0,0,0,0,0,0.00,0.00,p576637,Man Utd
Leo Shahar,0,0,0,0,0,0,0.00,0.00,p553746,Newcastle
Alysson Edward,3,47,0,0,0,0,0.05,0.05,p653481,Aston Villa
Kian McMahon-Brown,0,0,0,0,0,0,0.00,0.00,p644593,Burnley
Milan Aleksic,0,0,0,0,0,0,0.00,0.00,p626844,Sunderland
Jack Moorhouse,0,0,0,0,0,0,0.00,0.00,p559684,Man Utd
Lucá Williams-Barnett,0,0,0,0,0,0,0.00,0.00,p611917,Spurs
Luke Rawlings,0,0,0,0,0,0,0.00,0.00,p605319,Wolves
Jun'ai Byfield,1,1,0,0,0,0,0.00,0.00,p640419,Spurs
Malcom DaCosta,0,0,0,0,0,0,0.00,0.00,p678552,Bournemouth
Ryan McAidoo,0,0,0,0,0,0,0.00,0.00,p616288,Man City
Zach Marsh,0,0,0,0,0,0,0.00,0.00,p576980,Crystal Palace
Kaden Rodney,1,3,0,0,0,0,0.00,0.00,p530318,Crystal Palace
Amara Nallo,0,0,0,0,0,0,0.00,0.00,p611926,Liverpool
Remy Rees-Dottin,0,0,0,0,0,0,0.00,0.00,p606774,Bournemouth
Danny Imray,0,0,0,0,0,0,0.00,0.00,p502988,Crystal Palace
Dominic Sadi,0,0,0,0,0,0,0.00,0.00,p550596,Bournemouth
Dane Scarlett,2,7,0,0,0,0,0.01,0.01,p490145,Spurs
Diego Coppola,5,194,0,0,0,0,0.02,0.02,p550090,Brighton
Charlie Stevens,0,0,0,0,0,0,0.00,0.00,p658013,Bournemouth
Reece Welch,0,0,0,0,0,0,0.00,0.00,p474907,Everton
Jamaldeen Jimoh-Aloba,1,8,0,0,0,0,0.00,0.00,p559962,Aston Villa
Elijah Campbell,0,0,0,0,0,0,0.00,0.00,p491745,Everton
Sam Amissah,0,0,0,0,0,0,0.00,0.00,p591385,Fulham
Dan Neil,3,13,0,0,0,0,0.00,0.00,p223336,Sunderland
Joél Drakes-Thomas,2,7,0,0,0,0,0.00,0.00,p672492,Crystal Palace
Guido Rodríguez,6,177,0,0,0,0,0.04,0.04,p197024,West Ham
Stephen Mfuni,0,0,0,0,0,0,0.00,0.00,p566213,Man City
Julio Soler,3,34,0,0,0,0,0.01,0.01,p575901,Bournemouth
Tymur Tutierov,0,0,0,0,0,0,0.00,0.00,p604211,Sunderland
Leo Hjelde,0,0,0,0,0,0,0.00,0.00,p477547,Sunderland
Myles Peart-Harris,1,1,0,0,0,0,0.00,0.00,p450539,Brentford
Ben Casey,0,0,0,0,0,0,0.00,0.00,p631106,Crystal Palace
George King,0,0,0,0,0,0,0.00,0.00,p591384,Crystal Palace
Dean Benamar,0,0,0,0,0,0,0.00,0.00,p643426,Crystal Palace
Temple Ojinnaka,0,0,0,0,0,0,0.00,0.00,p514362,Wolves
Tawanda Chirewa,2,25,0,0,0,0,0.00,0.00,p497606,Wolves
Seth Ridgeon,0,0,0,0,0,0,0.00,0.00,p619536,Fulham
Tom Watson,6,57,0,0,0,0,0.04,0.04,p549074,Brighton
Charlie Tasker,0,0,0,0,0,0,0.00,0.00,p547720,Brighton
Reigan Heskey,0,0,0,0,0,0,0.00,0.00,p580921,Man City
George Earthy,1,8,0,0,0,0,0.01,0.01,p490885,West Ham
Romain Esse,4,40,0,0,0,0,0.04,0.04,p606921,Crystal Palace
Sam Chambers,0,0,0,0,0,0,0.00,0.00,p565863,Leeds
Oliver Pimlott,0,0,0,0,0,0,0.00,0.00,p647960,Burnley
Jaydon Banel,1,9,0,0,0,0,0.00,0.00,p551206,Burnley
Enock Agyei,0,0,0,0,0,0,0.00,0.00,p578614,Burnley
George Brierley,0,0,0,0,0,0,0.00,0.00,p704232,Burnley
Airidas Golambeckis,0,0,0,0,0,0,0.00,0.00,p643473,West Ham
Enso González,0,0,0,0,0,0,0.00,0.00,p593001,Wolves
TJ Carroll,0,0,0,0,0,0,0.00,0.00,p618027,Aston Villa
Yunus Konak,0,0,0,0,0,0,0.00,0.00,p628204,Brentford
Wellity Lucky,0,0,0,0,0,0,0.00,0.00,p519440,Liverpool
Leon Routh,0,0,0,0,0,0,0.00,0.00,p664015,Aston Villa
Chido Obi,0,0,0,0,0,0,0.00,0.00,p596047,Man Utd
Sam Alabi,0,0,0,0,0,0,0.00,0.00,p666607,Newcastle
Julián Araujo,0,0,0,0,0,0,0.00,0.00,p436893,Bournemouth
Braiden Graham,0,0,0,0,0,0,0.00,0.00,p629068,Everton
Callum Bates,0,0,0,0,0,0,0.00,0.00,p547801,Everton
Kota Takai,0,0,0,0,0,0,0.00,0.00,p553299,Spurs
Gustavo Nunes,0,0,0,0,0,0,0.00,0.00,p626464,Brentford
Freddie Simmonds,0,0,0,0,0,0,0.00,0.00,p604988,Brighton
Joe Knight,1,1,0,0,0,0,0.00,0.00,p567121,Brighton
Nehemiah Oriola,1,1,0,0,0,0,0.00,0.00,p556637,Brighton
Charlie Gray,0,0,0,0,0,0,0.00,0.00,p516234,Man City
Alfie Pond,0,0,0,0,0,0,0.00,0.00,p517179,Wolves
Willy Boly,0,0,0,0,0,0,0.00,0.00,p90585,Nott'm Forest
Callum Marshall,2,58,0,0,0,0,0.00,0.00,p565431,West Ham
Benjamin Arthur,0,0,0,0,0,0,0.00,0.00,p622536,Brentford
Jamaal Lascelles,2,19,0,0,0,0,0.00,0.00,p101148,Newcastle
Emil Krafth,1,45,0,0,0,0,0.00,0.00,p111773,Newcastle
Fábio Carvalho,6,100,0,0,0,0,0.03,0.01,p244858,Brentford
Andre Harriman-Annous,0,0,0,0,0,0,0.00,0.00,p646243,Arsenal
Yusuf Akhamrich,0,0,0,0,0,0,0.00,0.00,p590035,Spurs
Ben Broggio,0,0,0,0,0,0,0.00,0.00,p577731,Aston Villa
Landon Emenalo,0,0,0,0,0,0,0.00,0.00,p611912,Chelsea
Diego León,0,0,0,0,0,0,0.00,0.00,p661712,Man Utd
Antoni Milambo,1,45,0,0,0,0,0.01,0.01,p543295,Brentford
Harry Gray,0,0,0,0,0,0,0.00,0.00,p600882,Leeds
Travis Patterson,0,0,0,0,0,0,0.00,0.00,p534836,Aston Villa
Triston Rowe,0,0,0,0,0,0,0.00,0.00,p569577,Aston Villa
Manuel Akanji,0,0,0,0,0,0,0.00,0.00,p211975,Man City
Ilkay Gündogan,0,0,0,0,0,0,0.00,0.00,p59859,Man City
Aaron Ramsey,0,0,0,0,0,0,0.00,0.00,p447715,Burnley
Patrick Roberts,1,27,0,0,0,0,0.02,0.02,p124165,Sunderland
Jenson Seelt,2,134,0,0,0,0,0.02,0.02,p519634,Sunderland
Manor Solomon,0,0,0,0,0,0,0.00,0.00,p235674,Spurs
Romain Faivre,0,0,0,0,0,0,0.00,0.00,p441240,Bournemouth
Sasa Kalajdzic,1,14,0,0,0,0,0.01,0.01,p429414,Wolves
Tyler Onyango,0,0,0,0,0,0,0.00,0.00,p461446,Everton
Giovanni Leoni,0,0,0,0,0,0,0.00,0.00,p647681,Liverpool
Odsonne Édouard,1,2,0,0,0,0,0.00,0.00,p199670,Crystal Palace
Youssef Chermiti,0,0,0,0,0,0,0.00,0.00,p491012,Everton
Jakub Kiwior,0,0,0,0,0,0,0.00,0.00,p440854,Arsenal
Luka Vuskovic,0,0,0,0,0,0,0.00,0.00,p610799,Spurs
Nayef Aguerd,2,180,0,0,0,0,0.03,0.03,p210494,West Ham
Largie Ramazani,0,0,0,0,0,0,0.00,0.00,p433952,Leeds
Mads Roerslev,0,0,0,0,0,0,0.00,0.00,p226956,Brentford
Jota Silva,1,11,0,0,0,0,0.00,0.00,p510500,Nott'm Forest
Jesurun Rak-Sakyi,0,0,0,0,0,0,0.00,0.00,p450542,Crystal Palace
Andreas Pereira,0,0,0,0,0,0,0.00,0.00,p156689,Fulham
Edson Álvarez,0,0,0,0,0,0,0.00,0.00,p213999,West Ham
Samuel Iling-Junior,0,0,0,0,0,0,0.00,0.00,p469247,Aston Villa
Park Seung-Soo,0,0,0,0,0,0,0.00,0.00,p623110,Newcastle
Ben Winterburn,1,6,0,0,0,0,0.00,0.00,p606775,Bournemouth
Philip Billing,0,0,0,0,0,0,0.00,0.00,p168991,Bournemouth
